word,Codes,IncelTears,IncelsInAction,Truefemcels,BrainCels,MGTOW,IncelsWithoutHate,badwomensanatomy
normaloid,CoH,0.0,0.0,5.56,94.44,0.0,0.0,0.0
normaloids,CoH,0.0,0.0,0.0,100.0,0.0,0.0,0.0
normiebook,CoH,0.0,0.0,0.0,92.31,7.69,0.0,0.0
normiedom,CoH,3.45,0.0,10.34,75.86,0.0,10.34,0.0
normieland,CoH,0.0,0.0,5.88,88.24,5.88,0.0,0.0
normo,CoH,20.0,0.0,0.0,80.0,0.0,0.0,0.0
normoid,CoH,0.0,0.0,0.0,100.0,0.0,0.0,0.0
normoids,CoH,0.0,2.22,0.0,97.78,0.0,0.0,0.0
normscum,CoH,7.69,0.0,0.0,92.31,0.0,0.0,0.0
normshit,CoH,5.36,0.0,0.0,92.86,0.0,1.79,0.0
normshits,CoH,2.56,0.0,0.0,92.31,1.28,3.85,0.0
normtard,CoH,0.0,0.0,0.0,98.72,0.0,1.28,0.0
normtards,CoH,1.08,0.0,0.0,98.92,0.0,0.0,0.0
normtroopers,CoH,0.0,0.0,0.0,100.0,0.0,0.0,0.0
normy,CoH,12.0,0.0,2.0,56.0,2.0,28.0,0.0
nwalt,CoH,0.0,0.0,0.0,15.38,84.62,0.0,0.0
reeee,CoH,7.1,0.0,4.37,55.19,32.24,0.55,0.55
reeeee,CoH,10.8,0.0,3.76,44.13,38.03,2.82,0.47
reeeeeeeeeeeeeeeeeeeee,CoH,0.0,0.0,0.0,96.43,3.57,0.0,0.0
reeeeeeeeeeeeeeeeeeeeeeeeeee,CoH,0.0,0.0,0.0,66.67,25.0,8.33,0.0
reeeeeing,CoH,10.0,0.0,0.0,40.0,50.0,0.0,0.0
reeeeing,CoH,0.0,0.0,0.0,53.33,46.67,0.0,0.0
wagecuck,CoH,3.55,0.59,0.0,84.02,7.69,4.14,0.0
wagecucking,CoH,0.97,0.0,0.0,93.2,2.91,2.91,0.0
wagecucks,CoH,2.7,0.0,0.0,81.08,16.22,0.0,0.0
wageslave,CoH,2.58,0.0,0.0,75.26,21.13,1.03,0.0
wageslaves,CoH,4.88,0.0,0.0,65.85,24.39,4.88,0.0
wageslaving,CoH,3.1,0.0,0.78,87.6,6.2,2.33,0.0
wagie,CoH,0.0,0.0,0.0,91.67,8.33,0.0,0.0
alphadestiny,CoM,0.0,0.0,0.0,95.65,4.35,0.0,0.0
alphafux,CoM,0.0,0.0,0.0,19.15,80.85,0.0,0.0
alphaness,CoM,0.0,0.0,0.0,14.63,84.15,1.22,0.0
amalt,CoM,0.54,0.0,13.59,8.15,76.09,1.63,0.0
asianmasculinity,CoM,7.69,0.0,0.0,92.31,0.0,0.0,0.0
babebux,CoM,0.0,0.0,88.24,5.88,5.88,0.0,0.0
betabux,CoM,5.75,0.0,1.77,72.41,18.68,1.4,0.0
betabuxing,CoM,3.7,0.0,2.22,86.67,6.67,0.74,0.0
betabuxxes,CoM,0.0,0.0,0.0,94.44,0.0,5.56,0.0
betabuxxing,CoM,1.61,0.0,6.43,85.94,2.41,3.61,0.0
betafag,CoM,0.0,0.0,0.0,58.33,33.33,8.33,0.0
betafied,CoM,0.0,0.0,0.0,5.56,94.44,0.0,0.0
betamale,CoM,15.79,0.0,0.0,31.58,47.37,5.26,0.0
betamales,CoM,0.0,0.0,0.0,38.46,53.85,7.69,0.0
betaness,CoM,0.0,0.0,0.0,17.24,82.76,0.0,0.0
bitchboy,CoM,0.0,0.0,0.0,62.5,37.5,0.0,0.0
broscience,CoM,8.11,0.0,2.7,21.62,56.76,0.0,10.81
bugman,CoM,0.0,0.0,0.0,100.0,0.0,0.0,0.0
bugmen,CoM,0.0,0.0,0.0,75.0,25.0,0.0,0.0
bukake,CoM,0.0,0.0,0.0,11.11,88.89,0.0,0.0
buxed,CoM,9.09,0.0,0.0,72.73,18.18,0.0,0.0
buxes,CoM,0.0,0.0,0.0,60.0,40.0,0.0,0.0
buxx,CoM,0.0,0.0,2.03,89.85,6.6,1.52,0.0
buxxed,CoM,0.0,0.0,8.7,86.96,4.35,0.0,0.0
chadbro,CoM,0.0,0.0,0.0,83.33,16.67,0.0,0.0
chadcels,CoM,5.56,0.0,0.0,86.11,5.56,2.78,0.0
chadcock,CoM,5.88,0.0,0.0,64.71,29.41,0.0,0.0
chaddam,CoM,0.0,0.0,0.92,98.17,0.92,0.0,0.0
chaddams,CoM,0.0,0.0,2.5,97.5,0.0,0.0,0.0
chadded,CoM,10.0,0.0,0.0,70.0,20.0,0.0,0.0
chadder,CoM,0.0,0.0,0.0,25.0,75.0,0.0,0.0
chaddest,CoM,9.62,0.0,1.92,51.92,36.54,0.0,0.0
chaddier,CoM,0.0,0.0,3.57,28.57,64.29,3.57,0.0
chaddiest,CoM,1.85,0.0,0.0,62.96,31.48,3.7,0.0
chadding,CoM,0.0,0.0,4.35,13.04,82.61,0.0,0.0
